전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
일본어,22,1,50,1,1,1,,2,,2,,1,,2,2,1,2,,1,1,3003900,4111804,4137200,2,,,,3,4,3,4,5,4,3,4,4,3,4,8,2,3,4,1,1,3,3.5,5
일본어,25,,,,,,,2,,2,,2,4,2,2,2,2,,2,1,1014300,4111804,4145303,2,,,,5,5,4,5,5,4,4,3,2,2,2,7,2,3,4,1,2,3,2.8,4
일본어,22,,,,,,1,2,,2,,1,,2,2,2,2,,2,1,4145301,4038604,4111000,1,2,1,2,5,5,3,3,3,5,5,3,3,5,3,10,2,2,6,1,2,3,2,2
일본어,23,2,160,2,3,1,,2,,2,,1,,2,2,1,2,,1,2,,,,1,2,2,2,4,5,4,4,3,4,5,4,3,3,3,7,2,3,4,1,2,3,2.8,4
일본어,25,,,,,,,2,,2,,3,4,2,1,2,2,,2,2,,,,2,,,,5,3,2,2,2,4,3,3,3,3,3,8,2,1,4,1,2,3,2.9,3
일본어,25,2,250,3,2,2,,2,,2,,2,6,2,2,1,2,,2,1,4070500,4148800,3006100,2,,,,4,5,4,5,5,4,3,4,4,3,4,7,1,5,5,1,2,3,3.8,3
일본어,22,2,150,4,1,2,,2,,2,,4,,2,2,2,1,,2,2,,,,2,,,,4,5,4,5,5,5,4,4,2,3,3,6,2,1,4,4,3,2,4.2,4
일본어,22,2,130,3,3,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,3,3,3,3,3,3,3,3,3,3,3,5,2,2,3,1,4,3,4,3
중국어,24,2,170,3,5,1,,2,,2,,2,4,2,2,1,2,,1,1,5007800,,,2,,,,4,5,5,5,5,5,5,5,3,4,4,7,2,4,6,1,5,2,4,4
영어,24,1,100,4,1,2,,2,,2,,2,4,2,2,2,2,530,2,2,,,,1,2,1,2,4,4,2,4,4,5,4,4,2,4,4,7,1,4,6,1,1,3,2.9,4
영어,22,,,,,,0,2,,2,,1,,2,2,1,2,,1,2,,,,1,2,2,2,4,5,4,4,4,4,3,4,3,3,4,8,2,1,4,1,1,3,2.9,5
영어,22,2,180,3,4,2,,2,,2,,1,,2,1,1,2,810,1,2,,,,1,2,1,2,4,5,5,3,4,4,4,4,3,5,3,5,2,3,4,1,1,3,4.4,5
영어,22,2,180,3,1,2,,2,,2,,1,,2,2,1,2,600,2,2,,,,1,2,2,1,5,5,3,4,5,5,4,5,5,5,5,6,1,3,6,1,1,3,3,3
영어,22,1,120,2,5,2,,2,,2,,1,,2,2,1,2,550,2,2,,,,1,2,2,1,5,3,4,5,4,4,4,4,3,5,3,5,2,2,4,1,1,1,2.5,5
영어,22,2,170,3,3,2,,2,,2,,1,,2,2,1,1,,2,2,,,,2,,,,5,4,3,4,4,4,4,4,2,3,3,6,2,3,5,1,1,3,3,3
영어,22,,,,,,,2,,2,,1,,2,2,1,1,410,1,1,2116500,5006100,,2,,,,5,5,3,4,4,5,5,4,3,4,3,7,2,3,4,1,2,3,3.9,5
영어,22,2,190,4,2,2,,2,,2,,1,,2,2,1,2,400,2,1,4111804,,,2,,,,5,4,4,4,4,4,4,4,3,4,4,8,2,4,6,1,2,3,3.5,5
