코드,자격증명
-1,모름/무응답
1000100,가맹거래사
1000200,가축인공수정사
1000300,간호사
1000400,간호조무사
1000500,감정사
1000600,감정평가사
1000700,건축사
1000800,건축사(예비)
1000900,검량사
1001000,검수사
1001100,경기지도사
1001200,경매사(수산)
1001300,경매사(약용)
1001400,경매사(양곡)
1001500,경매사(청과)
1001600,경매사(축산)
1001700,경매사(화훼)
1001800,경영지도사(1차공통)
1001900,경영지도사(마케팅)
1002000,경영지도사(생산관리)
1002100,경영지도사(인적자원관리)
1002200,경영지도사(재무관리)
1002300,경주선수
1002400,경주심판
1002500,공인노무사
1002600,공인중개사
1002700,공인회계사
1002800,관광통역안내사(독어)
1002900,관광통역안내사(러시아어)
1003000,관광통역안내사(말레이/인도네시아어)
1003100,관광통역안내사(베트남어)
1003200,관광통역안내사(불어)
1003300,관광통역안내사(스페인어)
1003400,관광통역안내사(아랍어)
1003500,관광통역안내사(영어)
1003600,관광통역안내사(이탈리아어)
1003700,관광통역안내사(일본어)
1003800,관광통역안내사(중국어)
1003900,관광통역안내사(태국어)
1004000,관세사
1004100,교통안전관리자
1004200,구명정수
1004300,국내여행안내사
1004400,기계경비지도사
1004500,기관사
1004600,기술지도사(1차공통)
1004700,기술지도사(금속)
1004800,기술지도사(기계)
1004900,기술지도사(생명공학)
1005000,기술지도사(생산관리)
1005100,기술지도사(섬유)
1005200,기술지도사(전기전자)
1005300,기술지도사(정보처리)
1005400,기술지도사(화공)
1005500,기술지도사(환경)
1005600,농산물검사원
1005700,농산물품질관리사
1005800,도선사
1005900,동력수상레저기구조종면허
1006000,무대예술전문인
1006100,무선통신사
1006200,문화재수리기능자(가공석공)
1006300,문화재수리기능자(대목수)
1006400,문화재수리기능자(도금공)
1006500,문화재수리기능자(드잡이공)
1006600,문화재수리기능자(목조각공)
1006700,문화재수리기능자(박제및표본제작공)
1006800,문화재수리기능자(번와와공)
1006900,문화재수리기능자(보존처리공)
1007000,문화재수리기능자(석조각공)
1007100,문화재수리기능자(세척공)
1007200,문화재수리기능자(소목수)
1007300,문화재수리기능자(식물보호공)
1007400,문화재수리기능자(실측설계사보)
1007500,문화재수리기능자(쌓기석공)
1007600,문화재수리기능자(제작와공)
1007700,문화재수리기능자(조경공)
1007800,문화재수리기능자(철물공)
1007900,문화재수리기능자(칠공)
1008000,문화재수리기능자(표구공)
1008100,문화재수리기능자(한식미장공)
1008200,문화재수리기능자(화공)
1008300,문화재수리기능자(훈증공)
1008400,문화재수리기술자(단청)
1008500,문화재수리기술자(보수)
1008600,문화재수리기술자(보존과학)
1008700,문화재수리기술자(식물보호)
1008800,문화재수리기술자(실측설계)
1008900,문화재수리기술자(조경)
1009000,물류관리사
1009100,물리치료사
1009200,박물관및미술관준학예사
1009300,방사선사
1009400,방사선취급감독자면허
1009500,방사성동위원소취급자일반면허
1009600,방사성동위원소취급자특수면허
1009700,법무사
1009800,변리사
1009900,변호사
1010000,보건교사
1010100,보건교육사
1010200,보세사
1010300,보육교사
1010400,보험계리사
1010500,보험중계사
1010600,사서
1010700,사서교사
1010800,사업용조종사
1010900,사회복지사1급
1010901,사회복지사2급
1011000,산업안전지도사
1011100,산업위생지도사
1011200,생활체육지도사
1011300,세무사
1011400,소방시설관리사
1011500,소방안전교육사
1011600,소형선박조종사
1011700,손해사정사
1011800,수산질병관리사
1011900,수의사
1012000,실기교사
1012100,아마츄어무선기사
1012200,안경사
1012300,안마사
1012400,약사
1012500,영양교사
1012600,영양사
1012601,임상영양사
1012700,요양보호사
1012800,운송용조종사
1012900,운항사
1013000,원자로조종감독자면허
1013100,원자로조종사면허
1013200,위생사
1013300,유통관리사
1013400,응급구조사
1013500,의료관리자
1013600,의무기록사
1013700,의사
1013800,의지보조기기사
1013900,일반경비지도사
1014000,임상병리사
1014100,자가용조종사
1014200,자동차운전기능검정원
1014300,자동차운전면허(1종대형)
1014302,자동차운전면허(1종특수)
1014303,자동차운전면허(2종원동기장치자전거)
1014400,자동차운전전문강사
1014500,작업치료사
1014600,전문상담교사
1014700,전문의
1014801,중등학교 정교사
1014802,초등학교 정교사
1014803,특수학교 정교사
1014804,유치원 정교사
1014900,정수시설운영관리사1급
1015000,정수시설운영관리사2급
1015100,정수시설운영관리사3급
1015200,정신보건간호사
1015300,정신보건사회복지사
1015400,정신보건임상심리사
1015500,조산사
1015600,주조사
1015700,주택관리사보
1015800,준교사
1015900,직업능력개발훈련교사
1016000,철도차량운전면허
1016100,청소년상담사
1016200,청소년지도사
1016300,치과기공사
1016400,치과위생사
1016500,치과의사
1016600,택시운전자격
1016700,통신사
1016800,평생교육사
1016900,한국어교육능력검정시험
1017000,한약사
1017100,한약업사
1017200,한약조제사
1017300,한의사
1017400,항공공장정비사
1017500,항공교통관제사
1017600,항공기관사
1017700,항공사
1017800,항공운항관리사
1017900,항공정비사
1018000,항해사
1018100,핵연료물질취급면허[감독자]
1018200,핵연료물질취급면허[취급자]
1018300,행정사
1018400,호텔경영사
1018500,호텔관리사
1018600,호텔서비스사
1018700,화물운송종사자
1018800,화재조사관
1018900,환경측정분석사
1019000,환지사
1019100,버스운전자격
1019200,재활승마지도사
1019300,어린이집원장
1019400,소방안전관리자
1019500,초경량비행장치조종자 
1019600,수산물품질관리사
1019700,전문스포츠지도자
1019800,장애인재활상담사
1019900,보건의료정보관리사
1020000,생활스포츠지도사
1020100,말조련사
2000100,가구도장기능사
2000200,가구제작기능사
2000300,가스기능사
2000400,가스기능장
2000500,가스기사
2000600,가스기술사
2000700,가스산업기사
2000800,가스용접기능사
2000900,객화차정비기능사
2001000,객화차정비산업기사
2001100,거푸집기능사
2001200,건설기계기관정비기능사
2001300,건설기계기사/건설기계설비기사
2001400,건설기계기술사
2001500,건설기계산업기사
2001600,건설기계정비기능장
2001700,건설기계정비기사
2001800,건설기계정비산업기사
2001900,건설기계차체정비기능사
2002000,건설안전기사
2002100,건설안전기술사
2002200,건설안전산업기사
2002300,건설재료시험기능사
2002400,건설재료시험기사
2002500,건설재료시험산업기사
2002600,건축구조기술사
2002700,건축기계설비기술사
2002800,건축기사
2002900,건축도장기능사
2003000,건축목공산업기사
2003100,건축목재시공기능장
2003200,건축배관기능사
2003300,건축산업기사
2003400,건축설비기사
2003500,건축설비산업기사
2003600,건축시공기술사
2003700,건축일반시공기능장
2003800,건축일반시공산업기사
2003900,건축전기설비기술사
2004000,건축제도기능사
2004100,건축품질시험기술사
2004200,경매사
2004300,계량기계기능사
2004400,계량기계산업기사
2004500,계량물리산업기사
2004600,계량전기기능사
2004700,계량전기산업기사
2004800,고분자제품기술사
2004900,고분자제품제조기능사
2005000,고분자제품제조산업기사
2005100,공업계측제어기능사
2005200,공업계측제어기사
2005300,공업계측제어기술사
2005400,공업계측제어산업기사
2005500,공업배관기능사
2005600,공업화학기사
2005700,공업화학기술사
2005800,공업화학산업기사
2005900,공장관리기술사
2006000,공정관리기사
2006100,공정관리산업기사
2006200,공조냉동기계기능사
2006300,공조냉동기계기사
2006400,공조냉동기계기술사
2006500,공조냉동기계산업기사
2006600,광고도장기능사
2006700,광산보안기능사
2006800,광산보안기사
2006900,광산보안산업기사
2007000,광산차량기계운전기능사
2007100,광산환경기능사
2007200,광학기능사
2007300,광학기사
2007400,교통기사
2007500,교통기술사
