코드,전공명
-1,모름/무응답
C010101,일본어
C010102,중국어
C010103,영어
C010104,유럽ㆍ기타어
C010105,문예창작
C010106,교양어
C010201,문헌정보
C010202,문화
C010203,인문일반
C020101,경영ㆍ경제
C020102,관광
C020103,금융·회계·세무
C020104,무역·유통
C020201,법
C020301,가족ㆍ사회ㆍ복지
C020302,비서
C020303,언론·방송
C020304,행정
C030201,유아교육
C030301,특수교육
C040101,건축ㆍ설비
C040102,건축
C040103,조경
C040201,건설
C040202,토목
C040301,지상교통
C040302,항공
C040303,해양
C040401,기계
C040402,금속
C040403,자동차
C040501,전기
C040502,전자
C040503,제어계측
C040601,광학·에너지
C040701,반도체·세라믹
C040702,섬유
C040703,신소재
C040704,재료
C040801,전산·컴퓨터
C040802,응용소프트웨어
C040803,정보ㆍ통신
C040901,산업공학
C041001,화학공학
C041101,기전공학
C041102,응용공학
C050101,농수산
C050102,원예
C050201,생물
C050202,자원
C050203,환경
C050301,가정관리
C050302,식품·조리
C050303,의류·의상
C050401,지적
C060101,간호
C060201,보건
C060202,재활
C060203,의료장비
C060204,의무행정
C070101,산업디자인
C070102,시각디자인
C070103,패션디자인
C070104,기타디자인
C070201,공예
C070202,사진·만화
C070203,영상·예술
C070204,뷰티아트
C070301,무용
C070302,체육
C070401,미술
C070402,조형
C070501,연극ㆍ영화
C070601,음악
C070602,음향
E030101,교육학
E030201,유아교육학
E030401,초등교육학
E030501,언어교육
E030502,인문교육
E030503,사회교육
E030504,공학교육
E030505,자연계교육
E030506,예체능교육
U010101,언어학
U010102,국어ㆍ국문학
U010103,일본어ㆍ문학
U010104,중국어ㆍ문학
U010105,기타아시아어ㆍ문학
U010106,영미어ㆍ문학
U010107,독일어ㆍ문학
U010108,러시아어ㆍ문학
U010109,스페인어ㆍ문학
U010110,프랑스어ㆍ문학
U010111,기타유럽어ㆍ문학
U010112,교양어ㆍ문학
U010201,문헌정보학
U010202,문화ㆍ민속ㆍ미술사학
U010203,심리학
U010204,역사ㆍ고고학
U010205,종교학
U010206,국제지역학
U010207,철학ㆍ윤리학
U010208,교양인문학
U020101,경영학
U020102,경제학
U020103,관광학
U020104,광고·홍보학
U020105,금융ㆍ회계ㆍ세무학
U020106,무역ㆍ유통학
U020107,교양경상학
U020201,법학
U020301,가족ㆍ사회ㆍ복지학
U020302,국제학
U020303,도시ㆍ지역학
U020304,사회학
U020305,언론ㆍ방송ㆍ매체학
U020306,정치외교학
U020307,행정학
U020308,교양사회과학
U030101,교육학
U030201,유아교육학
U030301,특수교육
U030401,초등교육학
U030501,언어교육
U030502,인문교육
U030503,사회교육
U030504,공학교육
U030505,자연계교육
U030506,예체능교육
U040101,건축ㆍ설비공학
U040102,건축학
U040103,조경학
U040201,토목공학
U040202,도시공학
U040301,지상교통공학
U040302,항공학
U040303,해양공학
U040401,기계공학
U040402,금속공학
U040403,자동차공학
U040501,전기공학
U040502,전자공학
U040503,제어계측공학
U040601,광학공학
U040602,에너지공학
U040701,반도체ㆍ세라믹공학
U040702,섬유공학
U040703,신소재공학
U040704,재료공학
U040801,전산학ㆍ컴퓨터공학
U040802,응용소프트웨어공학
U040803,정보ㆍ통신공학
U040901,산업공학
U041001,화학공학
U041101,기전공학
U041102,응용공학
U041103,교양공학
U050101,농업학
U050102,수산학
U050103,산림ㆍ원예학
U050201,생명과학
U050202,생물학
U050203,동물ㆍ수의학
U050204,자원학
U050205,화학
U050206,환경학
U050301,가정관리학
U050302,식품영양학
U050303,의류ㆍ의상학
U050304,교양생활과학
U050401,수학
U050402,통계학
U050403,물리ㆍ과학
U050404,천문ㆍ기상학
U050405,지구ㆍ지리학
U050406,교양자연과학
U060101,의학
U060102,치의학
U060103,한의학
U060201,간호학
U060301,약학
U060401,보건학
U060402,재활학
U060403,의료공학
U070101,디자인일반
U070102,산업디자인
U070103,시각디자인
U070104,패션디자인
U070105,기타디자인
U070201,공예
U070202,사진ㆍ만화
U070203,영상ㆍ예술
U070301,무용
U070302,체육
U070401,순수미술
U070402,응용미술
U070403,조형
U070501,연극ㆍ영화
U070601,음악학
U070602,국악
U070603,기악
U070604,성악
U070605,작곡
U070606,기타음악
